CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
CASE00033,100220135202500033,202500033,2025-08-15,EMP0253,UNIT0135,CAT1,GRV1,CH03,CSH0016,STA2,,2025-08-15T22:41:00,2025-08-15T22:41:00,2025-08-15T22:41:00,12.295274,76.65257,Accused allegedly entered a residential lane and removed valuables without the owner's knowledge.
CASE00034,100110071202500034,202500034,2025-12-01,EMP0027,UNIT0071,CAT1,GRV2,CH05,CSH0021,STA3,,2025-12-01T22:33:00,2025-12-01T22:33:00,2025-12-01T22:33:00,12.796612,75.223445,Complainant reported that a two-wheeler was stolen from the local temple grounds on the night of the incident.
CASE00035,100130081202500035,202500035,2025-09-08,EMP0209,UNIT0081,CAT1,GRV2,CH02,CSH0008,STA1,,2025-09-08T06:09:00,2025-09-08T06:09:00,2025-09-08T06:09:00,15.484801,75.024221,A group of persons allegedly created a public disturbance near a residential lane.
CASE00036,100110071202500036,202500036,2025-08-23,EMP0115,UNIT0071,CAT1,GRV2,CH04,CSH0018,STA2,,2025-08-23T15:01:00,2025-08-23T15:01:00,2025-08-23T15:01:00,12.805106,75.210814,Physical assault reported outside a residential complex following a dispute between the parties.
CASE00037,100220135202600037,202600037,2026-01-19,EMP0253,UNIT0135,CAT1,GRV1,CH01,CSH0005,STA1,,2026-01-19T11:39:00,2026-01-19T11:39:00,2026-01-19T11:39:00,12.302723,76.652568,"An altercation broke out at the local temple grounds, resulting in injuries to the victim."
CASE00038,100050026202500038,202500038,2025-08-20,EMP0035,UNIT0026,CAT1,GRV2,CH05,CSH0023,STA3,,2025-08-20T11:43:00,2025-08-20T11:43:00,2025-08-20T11:43:00,12.958058,77.570301,"An altercation broke out at the local temple grounds, resulting in injuries to the victim."
CASE00039,100110069202600039,202600039,2026-06-18,EMP0127,UNIT0069,CAT1,GRV1,CH01,CSH0002,STA1,,2026-06-18T18:44:00,2026-06-18T18:44:00,2026-06-18T18:44:00,12.809423,75.242011,Accused is alleged to have used a fake identity to defraud the complainant near a residential complex.
CASE00040,100020011202600040,202600040,2026-05-15,EMP0085,UNIT0011,CAT1,GRV2,CH02,CSH0008,STA1,,2026-05-15T11:55:00,2026-05-15T11:55:00,2026-05-15T11:55:00,15.168813,76.965633,A complaint was filed regarding harassment near the main market over the past few weeks.
CASE00041,100220136202500041,202500041,2025-07-29,EMP0074,UNIT0136,CAT1,GRV2,CH02,CSH0011,STA3,,2025-07-29T01:13:00,2025-07-29T01:13:00,2025-07-29T01:13:00,12.290532,76.644522,"An altercation broke out at the bus stand, resulting in injuries to the victim."
CASE00042,100240146202600042,202600042,2026-03-30,EMP0131,UNIT0146,CAT1,GRV2,CH06,CSH0027,STA2,,2026-03-30T20:43:00,2026-03-30T20:43:00,2026-03-30T20:43:00,12.739582,77.281549,"An altercation broke out at a commercial complex, resulting in injuries to the victim."
CASE00043,100050032202500043,202500043,2025-12-05,EMP0184,UNIT0032,CAT1,GRV2,CH02,CSH0008,STA4,,2025-12-05T20:21:00,2025-12-05T20:21:00,2025-12-05T20:21:00,12.936184,77.610115,Vehicle registered to the complainant was found missing from outside a parking area.
CASE00044,100050031202500044,202500044,2025-09-08,EMP0195,UNIT0031,CAT1,GRV1,CH03,CSH0014,STA1,,2025-09-08T10:37:00,2025-09-08T10:37:00,2025-09-08T10:37:00,12.94594,77.613886,"An altercation broke out at the railway station, resulting in injuries to the victim."
CASE00045,100130083202500045,202500045,2025-08-18,EMP0156,UNIT0083,CAT1,GRV2,CH06,CSH0026,STA1,,2025-08-18T18:47:00,2025-08-18T18:47:00,2025-08-18T18:47:00,15.409286,74.935026,A complaint was filed regarding harassment near a commercial complex over the past few weeks.
CASE00046,100050027202600046,202600046,2026-01-12,EMP0157,UNIT0027,CAT1,GRV1,CH01,CSH0005,STA2,,2026-01-12T06:27:00,2026-01-12T06:27:00,2026-01-12T06:27:00,13.025247,77.623896,"An altercation broke out at a residential complex, resulting in injuries to the victim."
CASE00047,100130084202500047,202500047,2025-11-16,EMP0257,UNIT0084,CAT1,GRV1,CH03,CSH0013,STA3,,2025-11-16T01:26:00,2025-11-16T01:26:00,2025-11-16T01:26:00,15.472957,75.039939,Victim was approached by unidentified persons near the bus stand and robbed at knifepoint.
CASE00048,100070044202600048,202600048,2026-05-17,EMP0253,UNIT0044,CAT1,GRV1,CH01,CSH0005,STA1,,2026-05-17T12:17:00,2026-05-17T12:17:00,2026-05-17T12:17:00,11.959804,76.974601,A complaint was filed regarding harassment near a residential complex over the past few weeks.
CASE00049,100050026202500049,202500049,2025-10-14,EMP0071,UNIT0026,CAT1,GRV2,CH05,CSH0024,STA2,,2025-10-14T18:38:00,2025-10-14T18:38:00,2025-10-14T18:38:00,12.929148,77.540189,Physical assault reported outside the local temple grounds following a dispute between the parties.
CASE00050,100140085202600050,202600050,2026-03-19,EMP0106,UNIT0085,CAT1,GRV1,CH03,CSH0015,STA1,,2026-03-19T13:52:00,2026-03-19T13:52:00,2026-03-19T13:52:00,15.44393,75.643154,Vehicle registered to the complainant was found missing from outside the bus stand.
CASE00051,100130082202500051,202500051,2025-08-10,EMP0069,UNIT0082,CAT1,GRV2,CH02,CSH0010,STA4,,2025-08-10T19:40:00,2025-08-10T19:40:00,2025-08-10T19:40:00,15.496388,74.959411,A complaint was filed regarding harassment near a commercial complex over the past few weeks.
CASE00052,100130079202500052,202500052,2025-07-27,EMP0093,UNIT0079,CAT1,GRV2,CH02,CSH0007,STA3,,2025-07-27T18:34:00,2025-07-27T18:34:00,2025-07-27T18:34:00,15.512086,75.060136,Vehicle registered to the complainant was found missing from outside a parking area.
CASE00053,100050028202500053,202500053,2025-12-22,EMP0125,UNIT0028,CAT1,GRV2,CH06,CSH0027,STA3,,2025-12-22T19:52:00,2025-12-22T19:52:00,2025-12-22T19:52:00,12.934929,77.605366,A complaint was filed regarding harassment near the bus stand over the past few weeks.
CASE00054,100160097202600054,202600054,2026-06-24,EMP0246,UNIT0097,CAT1,GRV1,CH01,CSH0003,STA2,,2026-06-24T16:38:00,2026-06-24T16:38:00,2026-06-24T16:38:00,14.795681,75.377235,Physical assault reported outside the main market following a dispute between the parties.
CASE00055,100160093202500055,202500055,2025-09-04,EMP0188,UNIT0093,CAT1,GRV2,CH05,CSH0023,STA1,,2025-09-04T21:34:00,2025-09-04T21:34:00,2025-09-04T21:34:00,14.739235,75.428448,Accused allegedly entered the main market and removed valuables without the owner's knowledge.
CASE00056,100270166202600056,202600056,2026-06-23,EMP0161,UNIT0166,CAT1,GRV2,CH05,CSH0022,STA4,,2026-06-23T18:48:00,2026-06-23T18:48:00,2026-06-23T18:48:00,13.385783,74.751761,A complaint was filed regarding harassment near a parking area over the past few weeks.
CASE00057,100050031202600057,202600057,2026-03-21,EMP0257,UNIT0031,CAT1,GRV1,CH03,CSH0015,STA1,,2026-03-21T19:37:00,2026-03-21T19:37:00,2026-03-21T19:37:00,12.961103,77.601275,A complaint was filed regarding harassment near a residential complex over the past few weeks.
CASE00058,100130084202500058,202500058,2025-11-16,EMP0257,UNIT0084,CAT1,GRV1,CH01,CSH0005,STA3,,2025-11-16T14:21:00,2025-11-16T14:21:00,2025-11-16T14:21:00,15.464808,75.031489,"An altercation broke out at a residential lane, resulting in injuries to the victim."
CASE00059,100050028202600059,202600059,2026-04-22,EMP0093,UNIT0028,CAT1,GRV1,CH01,CSH0002,STA3,,2026-04-22T20:07:00,2026-04-22T20:07:00,2026-04-22T20:07:00,12.95528,77.620338,Accused allegedly entered a parking area and removed valuables without the owner's knowledge.
CASE00060,100110071202500060,202500060,2025-08-18,EMP0115,UNIT0071,CAT1,GRV2,CH02,CSH0006,STA1,,2025-08-18T13:27:00,2025-08-18T13:27:00,2025-08-18T13:27:00,12.809841,75.198103,Physical assault reported outside the main market following a dispute between the parties.
CASE00061,100080051202500061,202500061,2025-09-27,EMP0003,UNIT0051,CAT1,GRV1,CH03,CSH0015,STA3,,2025-09-27T18:24:00,2025-09-27T18:24:00,2025-09-27T18:24:00,13.461254,77.798951,"An altercation broke out at a residential complex, resulting in injuries to the victim."
CASE00062,100230138202500062,202500062,2025-09-05,EMP0235,UNIT0138,CAT1,GRV2,CH02,CSH0006,STA1,,2025-09-05T14:12:00,2025-09-05T14:12:00,2025-09-05T14:12:00,16.241251,77.396311,Accused is alleged to have used a fake identity to defraud the complainant near the local temple grounds.
CASE00063,100250151202600063,202600063,2026-02-25,EMP0144,UNIT0151,CAT1,GRV1,CH01,CSH0004,STA3,,2026-02-25T14:54:00,2026-02-25T14:54:00,2026-02-25T14:54:00,13.962112,75.590651,A complaint was filed regarding harassment near a residential complex over the past few weeks.
CASE00064,100130081202500064,202500064,2025-08-16,EMP0209,UNIT0081,CAT1,GRV1,CH01,CSH0004,STA2,,2025-08-16T11:07:00,2025-08-16T11:07:00,2025-08-16T11:07:00,15.472215,75.037342,A group of persons allegedly created a public disturbance near the local temple grounds.
CASE00065,100110069202500065,202500065,2025-11-16,EMP0127,UNIT0069,CAT1,GRV2,CH05,CSH0021,STA2,,2025-11-16T17:58:00,2025-11-16T17:58:00,2025-11-16T17:58:00,12.795196,75.221826,Accused is alleged to have used a fake identity to defraud the complainant near the main market.
CASE00066,100010003202500066,202500066,2025-10-07,EMP0081,UNIT0003,CAT1,GRV1,CH03,CSH0016,STA4,,2025-10-07T08:52:00,2025-10-07T08:52:00,2025-10-07T08:52:00,16.13255,75.686529,Vehicle registered to the complainant was found missing from outside a residential lane.
CASE00067,100030015202600067,202600067,2026-05-10,EMP0136,UNIT0015,CAT1,GRV2,CH04,CSH0019,STA1,,2026-05-10T02:48:00,2026-05-10T02:48:00,2026-05-10T02:48:00,15.82409,74.462279,Accused allegedly entered a residential lane and removed valuables without the owner's knowledge.
CASE00068,100030016202500068,202500068,2025-07-30,EMP0102,UNIT0016,CAT1,GRV2,CH04,CSH0019,STA2,,2025-07-30T08:49:00,2025-07-30T08:49:00,2025-07-30T08:49:00,15.808318,74.527452,Vehicle registered to the complainant was found missing from outside a parking area.
CASE00069,100050027202500069,202500069,2025-07-18,EMP0124,UNIT0027,CAT1,GRV2,CH05,CSH0024,STA1,,2025-07-18T20:48:00,2025-07-18T20:48:00,2025-07-18T20:48:00,13.044722,77.637753,Accused is alleged to have used a fake identity to defraud the complainant near a residential lane.
CASE00070,100050031202500070,202500070,2025-09-11,EMP0180,UNIT0031,CAT1,GRV2,CH06,CSH0025,STA3,,2025-09-11T20:13:00,2025-09-11T20:13:00,2025-09-11T20:13:00,12.945606,77.599091,A group of persons allegedly created a public disturbance near a parking area.
CASE00071,100030016202600071,202600071,2026-05-24,EMP0102,UNIT0016,CAT1,GRV2,CH04,CSH0019,STA1,,2026-05-24T14:17:00,2026-05-24T14:17:00,2026-05-24T14:17:00,15.806209,74.508625,A complaint was filed regarding harassment near a residential complex over the past few weeks.
CASE00072,100220133202500072,202500072,2025-08-30,EMP0199,UNIT0133,CAT1,GRV2,CH06,CSH0026,STA3,,2025-08-30T15:03:00,2025-08-30T15:03:00,2025-08-30T15:03:00,12.233884,76.646191,Victim was approached by unidentified persons near a commercial complex and robbed at knifepoint.
CASE00073,100290174202500073,202500073,2025-07-24,EMP0171,UNIT0174,CAT1,GRV1,CH03,CSH0013,STA3,,2025-07-24T16:36:00,2025-07-24T16:36:00,2025-07-24T16:36:00,16.83032,75.682914,"An altercation broke out at the railway station, resulting in injuries to the victim."
CASE00074,100160095202600074,202600074,2026-04-01,EMP0197,UNIT0095,CAT1,GRV1,CH03,CSH0015,STA1,,2026-04-01T22:20:00,2026-04-01T22:20:00,2026-04-01T22:20:00,14.745683,75.428248,Vehicle registered to the complainant was found missing from outside a commercial complex.
CASE00075,100230137202600075,202600075,2026-01-16,EMP0109,UNIT0137,CAT1,GRV1,CH03,CSH0013,STA2,,2026-01-16T11:27:00,2026-01-16T11:27:00,2026-01-16T11:27:00,16.229969,77.275447,Complainant alleges online fraud involving a transaction linked to the bus stand.
CASE00076,100200125202500076,202500076,2025-07-25,EMP0167,UNIT0125,CAT1,GRV2,CH06,CSH0026,STA1,,2025-07-25T13:43:00,2025-07-25T13:43:00,2025-07-25T13:43:00,15.326439,76.206258,Complainant reported that a two-wheeler was stolen from the bus stand on the night of the incident.
CASE00077,100030013202500077,202500077,2025-08-22,EMP0104,UNIT0013,CAT1,GRV1,CH03,CSH0014,STA3,,2025-08-22T10:44:00,2025-08-22T10:44:00,2025-08-22T10:44:00,15.791231,74.487858,A complaint was filed regarding harassment near a commercial complex over the past few weeks.
CASE00078,100050030202500078,202500078,2025-12-14,EMP0027,UNIT0030,CAT1,GRV2,CH05,CSH0022,STA2,,2025-12-14T21:10:00,2025-12-14T21:10:00,2025-12-14T21:10:00,12.958883,77.574363,Victim was approached by unidentified persons near a residential complex and robbed at knifepoint.
CASE00079,100010001202600079,202600079,2026-04-21,EMP0116,UNIT0001,CAT1,GRV2,CH02,CSH0007,STA2,,2026-04-21T16:08:00,2026-04-21T16:08:00,2026-04-21T16:08:00,16.208689,75.64581,Accused is alleged to have used a fake identity to defraud the complainant near the local temple grounds.
CASE00080,100200123202500080,202500080,2025-10-24,EMP0219,UNIT0123,CAT1,GRV1,CH01,CSH0003,STA3,,2025-10-24T11:05:00,2025-10-24T11:05:00,2025-10-24T11:05:00,15.310845,76.183987,A complaint was filed regarding harassment near the local temple grounds over the past few weeks.
CASE00081,100060035202500081,202500081,2025-09-26,EMP0191,UNIT0035,CAT1,GRV2,CH05,CSH0021,STA2,,2025-09-26T23:09:00,2025-09-26T23:09:00,2025-09-26T23:09:00,17.934071,77.484242,Vehicle registered to the complainant was found missing from outside a parking area.
CASE00082,100060039202500082,202500082,2025-10-13,EMP0040,UNIT0039,CAT1,GRV1,CH03,CSH0014,STA1,,2025-10-13T18:28:00,2025-10-13T18:28:00,2025-10-13T18:28:00,17.916053,77.483744,A group of persons allegedly created a public disturbance near the local temple grounds.
CASE00083,100050032202500083,202500083,2025-10-30,EMP0184,UNIT0032,CAT1,GRV2,CH02,CSH0011,STA3,,2025-10-30T20:15:00,2025-10-30T20:15:00,2025-10-30T20:15:00,12.933056,77.60879,A group of persons allegedly created a public disturbance near the main market.
CASE00084,100280169202600084,202600084,2026-05-21,EMP0097,UNIT0169,CAT1,GRV2,CH02,CSH0010,STA3,,2026-05-21T10:38:00,2026-05-21T10:38:00,2026-05-21T10:38:00,14.797031,74.659334,Victim was approached by unidentified persons near the local temple grounds and robbed at knifepoint.
CASE00085,100110069202500085,202500085,2025-09-01,EMP0127,UNIT0069,CAT1,GRV2,CH05,CSH0021,STA4,,2025-09-01T18:33:00,2025-09-01T18:33:00,2025-09-01T18:33:00,12.812967,75.221494,A group of persons allegedly created a public disturbance near a commercial complex.
CASE00086,100030018202600086,202600086,2026-04-15,EMP0120,UNIT0018,CAT1,GRV2,CH06,CSH0025,STA1,,2026-04-15T16:49:00,2026-04-15T16:49:00,2026-04-15T16:49:00,15.818016,74.482597,Complainant reported that a two-wheeler was stolen from the local temple grounds on the night of the incident.
CASE00087,100130081202600087,202600087,2026-01-26,EMP0209,UNIT0081,CAT1,GRV2,CH05,CSH0023,STA3,,2026-01-26T16:26:00,2026-01-26T16:26:00,2026-01-26T16:26:00,15.469858,75.043266,A group of persons allegedly created a public disturbance near the railway station.
CASE00088,100030015202600088,202600088,2026-06-06,EMP0136,UNIT0015,CAT1,GRV2,CH04,CSH0017,STA2,,2026-06-06T21:51:00,2026-06-06T21:51:00,2026-06-06T21:51:00,15.828725,74.466146,"An altercation broke out at the local temple grounds, resulting in injuries to the victim."
CASE00089,100100062202600089,202600089,2026-06-28,EMP0187,UNIT0062,CAT1,GRV1,CH01,CSH0002,STA1,,2026-06-28T11:59:00,2026-06-28T11:59:00,2026-06-28T11:59:00,14.178095,76.348762,Accused allegedly entered the main market and removed valuables without the owner's knowledge.
CASE00090,100290180202600090,202600090,2026-06-13,EMP0095,UNIT0180,CAT1,GRV1,CH01,CSH0001,STA2,,2026-06-13T09:22:00,2026-06-13T09:22:00,2026-06-13T09:22:00,16.890838,75.698957,Accused is alleged to have used a fake identity to defraud the complainant near the railway station.
CASE00091,100050031202500091,202500091,2025-08-22,EMP0220,UNIT0031,CAT1,GRV2,CH06,CSH0025,STA1,,2025-08-22T21:21:00,2025-08-22T21:21:00,2025-08-22T21:21:00,12.92375,77.610457,A group of persons allegedly created a public disturbance near a residential complex.
CASE00092,100110070202500092,202500092,2025-09-15,EMP0086,UNIT0070,CAT1,GRV1,CH03,CSH0012,STA2,,2025-09-15T04:54:00,2025-09-15T04:54:00,2025-09-15T04:54:00,12.814721,75.275417,A group of persons allegedly created a public disturbance near a residential complex.
CASE00093,100110070202500093,202500093,2025-08-09,EMP0007,UNIT0070,CAT1,GRV1,CH01,CSH0001,STA1,,2025-08-09T03:55:00,2025-08-09T03:55:00,2025-08-09T03:55:00,12.823387,75.28662,Accused allegedly entered the main market and removed valuables without the owner's knowledge.
CASE00094,100300183202600094,202600094,2026-04-28,EMP0213,UNIT0183,CAT1,GRV2,CH05,CSH0024,STA1,,2026-04-28T18:14:00,2026-04-28T18:14:00,2026-04-28T18:14:00,16.827695,77.180742,"An altercation broke out at a commercial complex, resulting in injuries to the victim."
CASE00095,100130082202600095,202600095,2026-02-24,EMP0063,UNIT0082,CAT1,GRV1,CH01,CSH0002,STA4,,2026-02-24T10:51:00,2026-02-24T10:51:00,2026-02-24T10:51:00,15.467866,74.964979,A complaint was filed regarding harassment near a commercial complex over the past few weeks.
CASE00096,100110068202500096,202500096,2025-10-15,EMP0156,UNIT0068,CAT1,GRV1,CH01,CSH0001,STA3,,2025-10-15T14:18:00,2025-10-15T14:18:00,2025-10-15T14:18:00,12.854307,75.300731,Vehicle registered to the complainant was found missing from outside a parking area.
CASE00097,100050032202500097,202500097,2025-09-22,EMP0184,UNIT0032,CAT1,GRV1,CH01,CSH0001,STA4,,2025-09-22T11:22:00,2025-09-22T11:22:00,2025-09-22T11:22:00,12.923187,77.611042,A complaint was filed regarding harassment near a parking area over the past few weeks.
CASE00098,100050026202500098,202500098,2025-09-13,EMP0071,UNIT0026,CAT1,GRV1,CH03,CSH0014,STA3,,2025-09-13T16:03:00,2025-09-13T16:03:00,2025-09-13T16:03:00,12.92745,77.576769,Complainant alleges online fraud involving a transaction linked to a commercial complex.
